id,start_time,end_time,score,coins_collected,ufos_shot,bullets_fired,death_reason,game_duration,pipes_passed
plane_1763313083278,2025-11-16 17:11:23.278000+00:00,2025-11-16 17:11:30.958000+00:00,15,3,4,31,pipe,7,4
plane_1763313093156,2025-11-16 17:11:33.156000+00:00,2025-11-16 17:11:37.858000+00:00,8,2,2,27,pipe,4,2
plane_1763313107853,2025-11-16 17:11:47.853000+00:00,2025-11-16 17:11:50.474000+00:00,6,0,2,13,pipe,2,1
plane_1763313120360,2025-11-16 17:12:00.360000+00:00,2025-11-16 17:12:06.323000+00:00,5,2,1,15,pipe,5,3
plane_1763313144329,2025-11-16 17:12:24.329000+00:00,2025-11-16 17:12:27.457000+00:00,4,1,1,5,pipe,3,1
plane_1763312419397,2025-11-16 17:00:19.397000+00:00,2025-11-16 17:00:21.916000+00:00,3,0,1,9,pipe,2,1
plane_1763312434821,2025-11-16 17:00:34.821000+00:00,2025-11-16 17:00:37.399000+00:00,6,0,2,15,pipe,2,1
plane_1763312439065,2025-11-16 17:00:39.065000+00:00,2025-11-16 17:00:41.982000+00:00,7,1,2,17,pipe,2,1
plane_1763313178331,2025-11-16 17:12:58.331000+00:00,2025-11-16 17:13:06.240000+00:00,13,4,3,18,pipe,7,4
plane_1763313188026,2025-11-16 17:13:08.026000+00:00,2025-11-16 17:13:12.340000+00:00,4,1,1,10,pipe,4,2
plane_1763313204694,2025-11-16 17:13:24.694000+00:00,2025-11-16 17:13:29.189000+00:00,4,1,1,18,pipe,4,2
plane_1763313211869,2025-11-16 17:13:31.869000+00:00,2025-11-16 17:13:36.524000+00:00,8,2,2,30,pipe,4,2
plane_1763313259021,2025-11-16 17:14:19.021000+00:00,2025-11-16 17:14:22.055000+00:00,1,1,0,5,pipe,3,1
plane_1763313225944,2025-11-16 17:13:45.944000+00:00,2025-11-16 17:13:48.523000+00:00,3,0,1,11,pipe,2,1
plane_1763313229890,2025-11-16 17:13:49.890000+00:00,2025-11-16 17:13:52.590000+00:00,6,0,2,13,pipe,2,1
plane_1763313265349,2025-11-16 17:14:25.349000+00:00,2025-11-16 17:14:31.422000+00:00,8,2,2,14,pipe,6,3
plane_1763313524052,2025-11-16 17:18:44.052000+00:00,2025-11-16 17:18:46.603000+00:00,6,0,2,10,pipe,2,1
plane_1763313531924,2025-11-16 17:18:51.924000+00:00,2025-11-16 17:18:54.603000+00:00,6,0,2,29,pipe,2,1
plane_1763313564409,2025-11-16 17:19:24.409000+00:00,2025-11-16 17:19:26.936000+00:00,3,0,1,14,pipe,2,1
plane_1763313572340,2025-11-16 17:19:32.340000+00:00,2025-11-16 17:19:35.036000+00:00,6,0,2,13,pipe,2,1
plane_1763313575965,2025-11-16 17:19:35.965000+00:00,2025-11-16 17:19:39.035000+00:00,7,1,2,24,pipe,3,1
plane_1763313580332,2025-11-16 17:19:40.332000+00:00,2025-11-16 17:19:44.519000+00:00,7,1,2,29,pipe,4,2
plane_1763313585287,2025-11-16 17:19:45.287000+00:00,2025-11-16 17:19:48.069000+00:00,6,0,2,15,pipe,2,1
